ISIN_No,BSE_Scrip_Code,BSE_Scrip_Id,BSE_Scrip_Name,NSE_ID,Nse_Name,Sector,Industry,Quandl_Code
INE229N01010,514060,EVERTEX,Evergreen Textiles Limited,NM,NM,Textiles,Misc.Textiles,EVERTEX
INE339D01026,514358,EVERLON,EVERLON SYNTHETICS LTD.,NM,NM,Textiles,Textile Processing,EVERLON
INE678H01010,532876,EVERONN,Everonn Education ltd,EVERONN,Everonn Education Limited,Services,Education,EVERONN
INE501O01036,526735,EXCAST,Excel Castronics Limited,NM,NM,Chemicals,Indl.Gases,EXCAST
INE223G01017,532511,EXCELCROP,EXCEL CROP CARE LTD.,EXCELCROP,Excel Crop Care Limited,Chemicals,Pesticides,EXCELCROP
INE369A01029,500650,EXCELINDUS,EXCEL INDUSTRIES LTD.,EXCELINDUS,Excel Industries Limited,Chemicals,Pesticides,EXCELINDUS
INE688J01015,533090,EXCELINFO,EXCEL INFOWAYS LTD.,EXCELINFO,Excel Infoways Limited,Technology,BPO Services,EXCELINFO
INE204I01013,512017,ZEXDONTR,EXDON TRADING CO.LTD.,NM,NM,Services,Misc.Other Services,ZEXDONTR
INE302A01020,500086,EXIDEIND,EXIDE INDUSTRIES LTD.,EXIDEIND,Exide Industries Limited,Engineering,Storage Batteries,EXIDEIND
INE898K01018,531320,EXOTICCOAL,EXOTIC COAL LTD.,NM,NM,FMCG,Soaps & Detergents,EXOTICCOAL
INE335G01019,530571,EXPLICITFIN,EXPLICIT FINANCE LTD.,NM,NM,Financial,Hire Purchase,EXPLICITFIN
INE561D01025,526614,EXPOGAS,EXPO GAS CONTAINERS LTD.,NM,NM,Metals,Metal Tanks & Fabrications,EXPOGAS
INE670D01016,512163,EXTCO,EXTOL COMMERCIAL LTD.,NM,NM,Financial,Misc. Fin.services,EXTCO
INE828G01013,532656,FACORALL,FACOR ALLOYS LTD.,NM,NM,Metals,Ferro Alloys,FACORALL
INE829G01011,532657,FACORSTE,FACOR STEELS LTD.,NM,NM,Metals,Steel Tubes & Pipes,FACORSTE
INE513A01014,505790,FAGBEARING,FAG BEARINGS INDIA LTD.,FAGBEARING,FAG Bearings India Limited,Engineering,Ball Bearings,FAGBEARING
INE719D01011,514474,FAIRDSY,FAIR DEAL FILAMENTS LTD.-$,NM,NM,Textiles,Cotton & Blended Yarn,FAIRDSY
INE511B01024,509527,FALCONTQ,FALCON TYRES LTD.-$,FALCONTYRE,Falcon Tyres Ltd,Automobile,Tyres & Tubes,FALCONTQ
INE890I01035,590094,FARMAXIND,Farmax India Limited-$,FARMAXIND,Farmax India Limited,FMCG,Cosmetics & Toiletries,FARMAXIND
INE720D01019,531252,FARRYIND,FARRY INDUSTRIES LTD.,NM,NM,Financial,Equipt.Leasing,FARRYIND
INE074D01037,532084,FASTRAENT,FAST TRACK ENTERTAINMENT LTD.,NM,NM,Financial,Hire Purchase,FASTRAENT
INE963C01033,530079,FAZE3Q,FAZE THREE LTD.-$,FAZETHREE,Faze Three Ltd,Textiles,Misc.Textiles,FAZE3Q
INE512B01022,532666,FCSSOFT,FCS SOFTWARE SOLUTIONS LTD.,FCSSOFT,FCS Software Solutions Limited,Technology,Computer Software,FCSSOFT
INE258B01022,531599,FDC,FDC LTD.,FDC,FDC Limited,Healthcare,Drugs & Pharma,FDC
INE708C01016,530863,FEINDIALTD,FE (India) Ltd,NM,NM,Financial,Misc. Fin.services,FEINDIALTD
INE249C01011,500139,FEDDERLOYD,FEDDERS LLOYD CORPORATION LTD.,FEDDERLOYD,Fedders Lloyd Corporation Limited,Cons Durable,ACs & Refrigerators,FEDDERLOYD
INE171A01029,500469,FEDERALBNK,FEDERAL BANK LTD.,FEDERALBNK,The Federal Bank  Limited,Financial,Banking,FEDERALBNK
INE529A01010,505744,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,FMGOETZE,Federal-Mogul Goetze (India) Limited.,Automobile,Auto Ancillaries,FMGOETZE
INE138D01014,526689,FENOPLAS,FENOPLAST LTD.-$,NM,NM,Chemicals,Plastic Films,FENOPLAS
INE912A01026,500141,FERROALL,FERRO ALLOYS CORPORATION LTD.,FERROALLOY,Ferro Alloys Corporation Ltd,Metals,Ferro Alloys,FERROALL
INE188A01015,590024,FACT,FERTILIZERS &amp; CHEMICALS TRAVANCORE LTD.,FACT,Fertilizers and Chemicals Travancore Limited,Chemicals,Other Fertilisers,FACT
INE258M01011,533896,FERVENTSYN,FERVENT SYNERGIES LTD.,NM,NM,Healthcare,Drugs & Pharma,FERVENTSYN
INE512A01016,500142,FGP,FGP LTD.,FGPIND,FGP Ltd,Construction,Glass & Glassware,FGP
INE296C01012,507910,FIBERWEB,FIBERWEB (INDIA) LTD.,NM,NM,Chemicals,Other Plastic Prod.,FIBERWEB
INE737H01014,532768,FIEMIND,FIEM INDUSTRIES LTD.,FIEMIND,Fiem Industries Limited,Automobile,Auto Ancillaries,FIEMIND
INE185E01013,532022,FILATFASH,FILATEX FASHIONS LTD.,NM,NM,Textiles,Misc.Textiles,FILATFASH
INE816B01019,526227,FILATEX,FILATEX INDIA LTD.-$,FILATEX,Filatex India Limited,Textiles,Synthetic Yarn,FILATEX
INE600B01033,531486,FILME,FILMCITY MEDIA LTD.,NM,NM,Services,Recreational Services,FILME
INE541R01019,539098,FILTRA,Filtra Consultants and Engineers Ltd,NM,NM,Engineering,Fasteners,FILTRA
INE589N01017,531191,FILTRON,FILTRON ENGINEERS LTD.,NM,NM,Engineering,Industrial Machinery,FILTRON
INE111B01023,526881,FINANTECH,FINANCIAL TECHNOLOGIES (INDIA) LTD.,FINANTECH,Financial Technologies (India) Limited,Technology,Computer Software,FINANTECH
INE128B01019,512219,FINAVENT,FINAVENTURE CAPITAL LTD.,NM,NM,Services,Food Processing,FINAVENT
INE194N01016,514336,FINPLST,FINE PLAST POLYMERS LTD.,NM,NM,Chemicals,Other Plastic Prod.,FINPLST
INE087E01011,517264,FINELINE,FINE-LINE CIRCUITS LTD.,NM,NM,Engineering,Electronic Components,FINELINE
